primary_label,secondary_labels,type,filename,collection,rating,url,latitude,longitude,scientific_name,common_name,author,license
1139490,[''],[''],1139490/CSA36385.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36385/IAvH-CSA-36385.mp3,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1139490,[''],[''],1139490/CSA36389.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36389/IAvH-CSA-36389.mp3,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36358.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36358/IAvH-CSA-36358.mp3,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36366.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36366/IAvH-CSA-36366.mp3,7.28,-73.8582,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36373.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36373/IAvH-CSA-36373.mp3,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36388.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36388/IAvH-CSA-36388.mp3,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1194042,[''],[''],1194042/CSA18783.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18783/IAvH-CSA-18783.mp3,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Diego A Gómez-Morales,cc-by-nc-sa 4.0
1194042,[''],[''],1194042/CSA18794.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18794/IAvH-CSA-18794.mp3,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
1194042,[''],[''],1194042/CSA18802.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18802/IAvH-CSA-18802.mp3,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
126247,"['65448', '22976', '476538']",['advertisement call'],126247/XC941297.ogg,XC,3.5,https://xeno-canto.org/941297,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog,Chris Harrison,cc-by-nc-sa 4.0
126247,[''],[''],126247/iNat1109254.ogg,iNat,0,https://static.inaturalist.org/sounds/1109254.wav,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog,Chris Harrison,cc-by-nc 4.0
126247,[''],[''],126247/iNat146584.ogg,iNat,0,https://static.inaturalist.org/sounds/146584.mp3,13.3852,-81.3704,Leptodactylus insularum,Spotted Foam-nest Frog,Rafael Tosi,cc-by 4.0
126247,[''],[''],126247/iNat320679.ogg,iNat,0,https://static.inaturalist.org/sounds/320679.m4a,13.3482,-81.3576,Leptodactylus insularum,Spotted Foam-nest Frog,Carolina Soto V,cc-by-nc 4.0
126247,[''],[''],126247/iNat888527.ogg,iNat,0,https://static.inaturalist.org/sounds/888527.m4a,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog,Hubert Szczygieł,cc-by-nc 4.0
126247,[''],[''],126247/iNat888729.ogg,iNat,0,https://static.inaturalist.org/sounds/888729.m4a,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog,Hubert Szczygieł,cc-by-nc 4.0
1346504,[''],[''],1346504/CSA18784.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18784/IAvH-CSA-18784.mp3,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Diego A Gómez-Morales,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18791.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18791/IAvH-CSA-18791.mp3,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Diego A Gómez-Morales,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18792.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18792/IAvH-CSA-18792.mp3,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18793.ogg,CSA,0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18793/IAvH-CSA-18793.mp3,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
